Player,Team,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Achille Polonara,Virtus Segafredo Bologna,F,21,264,25,57,439,13,29,448,12,28,429,553,3,5,600,18,38,56,25,10,10,11,27,66
Adam Hanga,Crvena zvezda Meridianbet,G,26,523,75,188,399,33,99,333,42,89,472,487,24,45,533,14,62,76,62,25,8,34,51,207
Alberto Abalde,Real Madrid,G,24,308,30,68,441,19,46,413,11,22,500,581,7,8,875,6,39,45,16,10,1,5,25,86
Alec Peters,Olympiacos,F,40,1017,188,333,565,76,142,535,112,191,586,679,72,82,878,49,145,194,62,19,4,53,90,524
Aleksa Avramović,Partizan Mozzart Bet,G,24,447,94,189,497,26,88,295,68,101,673,566,31,40,775,8,34,42,44,18,4,32,43,245
Alen Smailagic,Partizan Mozzart Bet,C,31,492,64,107,598,12,26,462,52,81,642,654,32,44,727,32,36,68,18,18,12,21,69,172
Alessandro Pajola,Virtus Segafredo Bologna,G,34,580,41,106,387,25,71,352,16,35,457,505,24,33,727,15,47,62,103,26,4,37,91,131
Álex Abrines,Barcelona,F,27,468,63,128,492,43,96,448,20,32,625,660,18,21,857,16,38,54,13,13,8,18,57,187
Alex Poythress,EA7 Emporio Armani Milano,C,30,386,67,112,598,1,5,200,66,107,617,603,23,29,793,35,45,80,4,10,11,28,74,158
Alexandros Samodurov,Panathinaikos,F,1,1,1,2,500,1,1,1.000,0,1,0,750,0,0,,0,0,0,1,0,0,0,0,3
Alpha Diallo,AS Monaco,F,38,1024,146,301,485,37,95,389,109,206,529,547,75,100,750,46,115,161,65,43,14,46,101,404
Amine Noua,Fenerbahçe Beko,F,12,177,20,37,541,6,16,375,14,21,667,622,4,5,800,14,20,34,6,2,9,2,25,50
Andreas Obst,Bayern München,F,22,411,54,131,412,47,115,409,7,16,438,592,11,14,786,5,28,33,15,4,0,10,25,166
Ante Zizic,Anadolu Efes,C,12,189,29,42,690,0,0,,29,42,690,690,11,17,647,12,21,33,8,7,2,8,13,69
Ante Zizic,Virtus Segafredo Bologna,C,18,239,33,54,611,0,0,,33,54,611,611,9,18,500,20,28,48,10,2,10,13,26,75
Antonius Cleveland,Maccabi Playtika Tel Aviv,G,39,552,76,167,455,16,59,271,60,108,556,503,43,61,705,38,30,68,28,37,19,19,98,211
Arnas Butkevicius,Žalgiris,F,22,460,38,75,507,14,36,389,24,39,615,600,19,27,704,17,56,73,20,13,2,21,55,109
Austin Hollins,Žalgiris,F,8,97,10,26,385,7,20,350,3,6,500,519,4,5,800,1,7,8,1,3,0,9,16,31
Awudu Abass,Virtus Segafredo Bologna,F,31,399,50,122,410,25,79,316,25,43,581,512,11,13,846,18,34,52,13,12,3,6,33,136
Balša Koprivica,Partizan Mozzart Bet,C,14,116,20,24,833,0,0,,20,24,833,833,6,6,1.000,9,15,24,4,3,8,9,25,46
Billy Baron,EA7 Emporio Armani Milano,G,3,47,3,11,273,0,5,0,3,6,500,273,1,1,1.000,0,7,7,9,4,0,6,5,7
Yakuba Ouattara,AS Monaco,F,26,310,41,80,513,23,48,479,18,32,563,656,5,7,714,15,23,38,3,4,1,6,27,110
Bonzie Colson,Maccabi Playtika Tel Aviv,F,40,1138,184,376,489,55,142,387,129,234,551,563,81,102,794,58,154,212,22,50,15,25,87,504
Boris Dallo,LDLC ASVEL,G,3,13,0,3,0,0,2,0,0,1,0,0,0,0,,1,0,1,2,0,0,4,4,0
Boubacar Toure,Valencia Basket,F,21,288,35,62,565,0,0,,35,62,565,565,13,24,542,32,55,87,4,7,12,19,40,83
Brady Manek,Žalgiris,F,28,528,74,174,425,48,118,407,26,56,464,563,15,19,789,14,82,96,17,16,2,24,45,211
Brandon Davies,Valencia Basket,C,28,626,129,261,494,15,49,306,114,212,538,523,65,81,802,33,75,108,56,23,17,55,76,338
Branko Lazic,Crvena zvezda Meridianbet,F,22,303,19,59,322,11,38,289,8,21,381,415,11,12,917,14,18,32,8,8,1,7,57,60
Bruno Caboclo,Partizan Mozzart Bet,C,27,523,93,146,637,23,46,500,70,100,700,716,45,62,726,38,71,109,5,16,18,34,73,254
Bruno Mascolo,Virtus Segafredo Bologna,F,2,10,1,4,250,0,0,,1,4,250,250,0,0,,1,0,1,0,0,0,0,2,2
Bryant Dunston,Virtus Segafredo Bologna,C,36,695,70,114,614,2,6,333,68,108,630,623,20,42,476,55,76,131,34,27,25,22,92,162
Burak Can Yildizli,Anadolu Efes,F,1,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Carlos Alocen,Real Madrid,G,12,106,7,32,219,1,11,91,6,21,286,234,3,5,600,1,15,16,17,2,1,8,12,18
Carsen Edwards,Bayern München,G,34,776,138,356,388,61,187,326,77,169,456,473,53,58,914,13,45,58,62,30,2,58,58,390
Charles Kahudi,LDLC ASVEL,F,29,502,43,118,364,10,41,244,33,77,429,407,17,22,773,19,64,83,24,4,0,13,45,113
Chima Moneke,Baskonia,F,34,841,154,290,531,30,85,353,124,205,605,583,123,161,764,70,153,223,46,39,18,67,56,461
Chris Chiozza,Baskonia,G,26,268,18,60,300,7,34,206,11,26,423,358,7,10,700,2,23,25,63,12,3,24,28,50
Chris Jones,Valencia Basket,G,33,851,156,332,470,51,112,455,105,220,477,547,55,68,809,6,64,70,139,41,1,57,46,418
Christ Koumadje,ALBA Berlin,C,28,465,64,102,627,0,0,,64,102,627,627,30,44,682,59,92,151,7,11,24,25,58,158
Codi Miller-McIntyre,Baskonia,G,39,1151,143,306,467,27,93,290,116,213,545,511,60,86,698,23,147,170,284,37,3,100,84,373
