Player,Code,Tm,2023-24
Achille Polonara,achille_polonara,Virtus Segafredo Bologna,500000
Adam Hanga,adam_hanga,Crvena zvezda Meridianbet,800000
Alberto Abalde,alberto_abalde,Real Madrid,500000
Alec Peters,alec_peters,Olympiacos,900000
Aleksa Avramovic,aleksa_avramovic,Partizan Mozzart Bet,850000
Alen Smailagic,alen_smailagic,Partizan Mozzart Bet,500000
Alessandro Pajola,alessandro_pajola,Virtus Segafredo Bologna,500000
Alex Abrines,allex_abrines,Barcelona,1200000
Alex Poythress,alex_poythress,EA7 Emporio Armani Milano,1000000
Alexandros Samodurov,alexandros_samodurov,Panathinaikos,100000
Alpha Diallo,alpha_diallo,AS Monaco,1700000
Amine Noua,amine_noua,Fenerbahce Beko,800000
Andreas Obst,andreas_obst,Bayern Munchen,800000
Ante Zizic,ante_zizic,Anadolu Efes,750000
Ante Zizic,ante_zizic,Virtus Segafredo Bologna,1200000
Antonius Cleveland,antonius_cleveland,Maccabi Playtika Tel Aviv,900000
Arnas Butkevicius,arnas_butkevicius,Zalgiris,600000
Austin Hollins,austin_hollins,Zalgiris,500000
Awudu Abass,awudu_abass,Virtus Segafredo Bologna,400000
Balca Koprivica,balca_koprivica,Partizan Mozzart Bet,300000
Billy Baron,billy_baron,EA7 Emporio Armani Milano,500000
Yakuba Ouattara,yakuba_ouattara,AS Monaco,500000
Bonzie Colson,bonzie_colson,Maccabi Playtika Tel Aviv,1400000
Boris Dallo,boris_dallo,LDLC ASVEL,700000
Boubacar Toure,boubacar_toure,Valencia Basket,500000
Brady Manek,brady_manek,Zalgiris,600000
Brandon Davies,brandon_davies,Valencia Basket,1000000
Branko Lazic,branko_lazic,Crvena zvezda Meridianbet,300000
Bruno Caboclo,bruno_caboclo,Partizan Mozzart Bet,1000000
Bruno Mascolo,bruno_mascolo,Virtus Segafredo Bologna,500000
Bryant Dunston,bryant_dunston,Virtus Segafredo Bologna,650000
Burak Can Yildizli,burak_can_yildizli,Anadolu Efes,500000
Carlos Alocen,carlos_alocen,Real Madrid,500000
Carsen Edwards,carsen_edwards,Bayern Munchen,1000000
Charles Kahudi,charles_kahudi,LDLC ASVEL,500000
Chima Moneke,chima_moneke,Baskonia,1500000
Chris Chiozza,chris_chiozza,Baskonia,500000
Chris Jones,chris_jones,Valencia Basket,800000
Christ Koumadje,christ_koumadje,ALBA Berlin,700000
Codi Miller-McIntyre,codi_miller-mcintyre,Baskonia,1000000
Dalibor Ilic,dalibor_ilic,Crvena zvezda Meridianbet,500000
Dame Sarr,dame_sarr,Barcelona,500000
Damien Inglis,damien_inglis,Valencia Basket,1000000
Daniel Diez,daniel_diez,Baskonia,600000
Daniel Hackett,daniel_hackett,Virtus Segafredo Bologna,1000000
Daniel Oturu,daniel_oturu,Anadolu Efes,800000
Danielius Lavrinovicius,danielius_lavrinovicius,Zalgiris,800000
Danilo Andusic,danilo_andusic,Partizan Mozzart Bet,900000
Danko Brankovic,danko_brankovic,Bayern Munchen,800000
Dario Brizuela,dario_brizuela,Barcelona,900000
Darius Thompson,darius_thompson,Anadolu Efes,1400000
David Lighty,david_lighty,LDLC ASVEL,500000
Dejan Davidovac,dejan_davidovac,Crvena zvezda Meridianbet,700000
Derek Willis,derek_willis,Anadolu Efes,800000
Deshaun Thomas,deshaun_thomas,LDLC ASVEL,500000
Devin Booker,devin_booker,Bayern Munchen,1200000
Devon Hall,devon_hall,EA7 Emporio Armani Milano,1500000
Devontae Cacok,devontae_cacok,Virtus Segafredo Bologna,500000
Diego Flaccadori,diego_flaccadori,EA7 Emporio Armani Milano,500000
Dimitris Moraitis,dimitris_moraitis,Panathinaikos,200000
Dino Radoncic,dino_radoncic,Bayern Munchen,800000
Donatas Motiejunas,donatas_motiejunas,AS Monaco,1200000
Donta Hall,donta_hall,AS Monaco,800000
Dovydas Butka,dovydas_butka,Zalgiris,500000
Dovydas Giedraitis,dovydas_giedraitis,Zalgiris,500000
Dyshawn Pierre,dyshawn_pierre,Fenerbahche Beko,1400000
Dzanan Musa,dzanan_musa,Real Madrid,2400000
Edgaras Ulanovas,edgaras_ulanovas,Zalgiris,1000000
Edmond Sumner,edmond_sumner,,1231230
Edwin Jackson,edwin_jackson,LDLC ASVEL,500000
Eleftherios Mantzoukas,eleftherios_mantzoukas,Panathinaikos,200000
Eli Ndiaye,eli_ndiaye,Real Madrid,500000
Elias Harris,elias_harris,Bayern Munchen,800000
Elias Jose Rapieque,elias_jose_rapieque,ALBA Berlin,500000
Ellie Okobo,ellie_okobo,AS Monaco,2000000
Elijah Bryant,elijah_bryant,Anadolu Efes,1300000
Emre Tunca,emre_tunca,Anadolu Efes,500000
Ercan Osmani,ercan_osmani,Anadolu Efes,500000
Erkan Yilmaz,erkan_yilmaz,Anadolu Efes,500000
Erten Gazi,erten_gazi,Anadolu Efes,500000
Fabien Causeur,fabien_causeur,Real Madrid,1200000
Facu Campazzo,facu_campazzo,Real Madrid,2500000
Ferrando Guillem,ferrando_guillem,Valencia Basket,500000
Filip Petrusev,filip_petrusev,Olympiacos,900000
Frank Jackson,frank_jackson,LDLC ASVEL,500000
Frank Kaminsky,frank_kaminsky,Partizan Mozzart Bet,1000000
Freddie Gillespie,freddie_gillespie,Bayern Munchen,800000
Freddie Gillespie,freddie_gillespie,Crvena zvezda Meridianbet,400000
Frederick Gillespie,frederick_gillespie,Crvena zvezda Meridianbet,500000
Gabriel Alejandro Deck,gabriel_alejandro_deck,Real Madrid,1200000
Gabriel Lundberg,gabriel_lundberg,Virtus Segafredo Bologna,1000000
Gabriele Procida,gabriele_procida,ALBA Berlin,500000
Georgios Papagiannis,georgios_papagiannis,Fenerbahce Beko,1323223
George Papas,george_papas,Olympiacos,50000
Giampaolo Ricci,giampaolo_ricci,EA7 Emporio Armani Milano,500000
Giannoulis Larentzakis,giannoulis_larentzakis,Olympiacos,800000
Giordano Bortolani,giordano_bortolani,EA7 Emporio Armani Milano,500000
Guerschon Yabusele,guerschon_yabusele,Real Madrid,2000000
Guglielmo Caruso,guglielmo_caruso,EA7 Emporio Armani Milano,500000
Willy Hernangomez,willy_hernangomez,Barcelona,2000000
Hugo Gonzalez Pena,hugo_gonzalez_pena,Real Madrid,500000
Ignas Brazdeikis,ignas_brazdeikis,Olympiacos,700000
Ioannis Papapetrou,ioannis_papapetrou,Panathinaikos,800000
Isaac Bonga,isaac_bonga,Bayern Munchen,1100000
Isaia Cordinier,isaia_cordinier,Virtus Segafredo Bologna,1200000
Isaiah Canaan,isaiah_canaan,Olympiacos,900000
Ismael Kamagate,ismael_kamagate,EA7 Emporio Armani Milano,700000
Ismaila Diagne,ismaila_diagne,Real Madrid,600000
Ivan Kharchenkov,ivan_kharchenkov,Bayern Munchen,800000
Jabari Parker,jabari_parker,Barcelona,1500000
Jaime Pradilla,jaime_pradilla,Valencia Basket,800000
Jake Cohen,jake_cohen,Maccabi Playtika Tel Aviv,800000
Jaleen Smith,jaleen_smith,Partizan Mozzart Bet,500000
